Сезон;Тур;Хозяева;Гости;Голы хозяев;Голы гостей;Дата матча;Букмекер_1;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Букмекер_2;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Букмекер_3;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;23-й тур;Фулхэм;Вест Хэм;0;0;Матч завершен 6 февраля 2021;1хСтавка;4.37;3.84;1.85;1.92;1.98;Winline;4.13;3.56;1.88 ;1.81;1.99;Fonbet;3.70;3.40;2.05;1.75;2.10;Английская Премьер-лига 2020-2021;07.11.20;Вест Хэм;Фулхэм;1;0;Английская Премьер-лига 2018-2019;22.02.19;Вест Хэм;Фулхэм;3;1;Английская Премьер-лига 2018-2019;15.12.18;Фулхэм;Вест Хэм;0;2;Английская Премьер-лига 2013-2014;01.01.14;Фулхэм;Вест Хэм;2;1;Английская Премьер-лига 2013-2014;30.11.13;Вест Хэм;Фулхэм;3;0;03.02.21;Фулхэм;Лестер;0;2;30.01.21;ВестБромвич;Фулхэм;2;2;27.01.21;Брайтон;Фулхэм;0;0;20.01.21;Фулхэм;Манчестер Юнайтед;1;2;16.01.21;Фулхэм;Челси;0;1;13.01.21;Тоттенхэм;Фулхэм;1;1;26.12.20;Фулхэм;Саутгемптон;0;0;03.02.21;АстонВилла;Вест Хэм;1;3;31.01.21;ВестХэм;Ливерпуль;1;3;26.01.21;КристалПэлас;Вест Хэм;2;3;19.01.21;ВестХэм;Вест Бромвич;2;1;16.01.21;ВестХэм;Бернли;1;0;01.01.21;Эвертон;Вест Хэм;0;1;29.12.20;Саутгемптон;Вест Хэм;0;0;Фулхэм;18;Вылет в Чемпионшип;21;2;8;11;17;31;25;25;23;14;12;11;0;Вест Хэм;5;Лига Европы;22;11;5;6;34;28;44;42;40;38;36;36;35
2020-2021;23-й тур;Бернли;Брайтон;1;1;Матч завершен 6 февраля 2021;1хСтавка;3.88;3.26;2.14;1.53;2.57;Winline;3.60;3.08;2.21;1.52;2.45;Fonbet;3.70;3.20;2.15;1.55;2.45;Английская Премьер-лига 2020-2021;06.11.20;Брайтон;Бернли;0;0;Английская Премьер-лига 2019-2020;26.07.20;Бернли;Брайтон;1;2;Английская Премьер-лига 2019-2020;14.09.19;Брайтон;Бернли;1;1;Английская Премьер-лига 2018-2019;09.02.19;Брайтон;Бернли;1;3;Английская Премьер-лига 2018-2019;08.12.18;Бернли;Брайтон;1;0;03.02.21;Бернли;Манчестер Сити;0;2;31.01.21;Челси;Бернли;2;0;27.01.21;Бернли;Астон Вилла;3;2;21.01.21;Ливерпуль;Бернли;0;1;16.01.21;ВестХэм;Бернли;1;0;12.01.21;Бернли;Манчестер Юнайтед;0;1;29.12.20;Бернли;Шеффилд Юнайтед;1;0;03.02.21;Ливерпуль;Брайтон;0;1;31.01.21;Брайтон;Тоттенхэм;1;0;27.01.21;Брайтон;Фулхэм;0;0;16.01.21;Лидс;Брайтон;0;1;13.01.21;МанчестерСити;Брайтон;1;0;02.01.21;Брайтон;Вулверхэмптон;3;3;29.12.20;Брайтон;Арсенал;0;1;Бернли;17;;21;6;4;11;13;28;26;24;22;22;14;12;11;Брайтон;15;;22;5;9;8;24;29;29;29;26;24;22;22;14
2020-2021;23-й тур;Ньюкасл;Саутгемптон;3;2;Матч завершен 6 февраля 2021;1хСтавка;3.34;3.54;2.23;2.00;1.90;Winline;3.26;3.44;2.19;1.99;1.81;Fonbet;3.05;3.35;2.40;2.00;1.80;Английская Премьер-лига 2020-2021;06.11.20;Саутгемптон;Ньюкасл;2;0;Английская Премьер-лига 2019-2020;07.03.20;Саутгемптон;Ньюкасл;0;1;Английская Премьер-лига 2019-2020;08.12.19;Ньюкасл;Саутгемптон;2;1;Английская Премьер-лига 2018-2019;20.04.19;Ньюкасл;Саутгемптон;3;1;Английская Премьер-лига 2018-2019;27.10.18;Саутгемптон;Ньюкасл;0;0;02.02.21;Ньюкасл;Кристал Пэлас;1;2;30.01.21;Эвертон;Ньюкасл;0;2;26.01.21;Ньюкасл;Лидс;1;2;23.01.21;АстонВилла;Ньюкасл;2;0;18.01.21;Арсенал;Ньюкасл;3;0;12.01.21;ШеффилдЮнайтед;Ньюкасл;1;0;03.01.21;Ньюкасл;Лестер;1;2;02.02.21;МанчестерЮнайтед;Саутгемптон;9;0;30.01.21;Саутгемптон;Астон Вилла;0;1;26.01.21;Саутгемптон;Арсенал;1;3;16.01.21;Лестер;Саутгемптон;2;0;04.01.21;Саутгемптон;Ливерпуль;1;0;29.12.20;Саутгемптон;Вест Хэм;0;0;26.12.20;Фулхэм;Саутгемптон;0;0;Ньюкасл;16;;22;6;4;12;22;36;29;26;24;22;22;14;12;Саутгемптон;12;;21;8;5;8;27;34;33;31;0;29;0;26;24
2020-2021;23-й тур;Астон Вилла;Арсенал;1;0;Матч завершен 6 февраля 2021;1хСтавка;3.10;3.58;2.33;2.26;1.67;Winline;2.99;3.49;2.36;2.17;1.71;Fonbet;2.75;3.45;2.55;2.15;1.70;Английская Премьер-лига 2020-2021;08.11.20;Арсенал;Астон Вилла;0;3;Английская Премьер-лига 2019-2020;21.07.20;Астон Вилла;Арсенал;1;0;Английская Премьер-лига 2019-2020;22.09.19;Арсенал;Астон Вилла;3;2;Английская Премьер-лига 2015-2016;15.05.16;Арсенал;Астон Вилла;4;0;Английская Премьер-лига 2015-2016;13.12.15;Астон Вилла;Арсенал;0;2;03.02.21;АстонВилла;Вест Хэм;1;3;30.01.21;Саутгемптон;Астон Вилла;0;1;27.01.21;Бернли;Астон Вилла;3;2;23.01.21;АстонВилла;Ньюкасл;2;0;20.01.21;МанчестерСити;Астон Вилла;2;0;01.01.21;МанчестерЮнайтед;Астон Вилла;2;1;28.12.20;Челси;Астон Вилла;1;1;02.02.21;Вулверхэмптон;Арсенал;2;1;30.01.21;Арсенал;Манчестер Юнайтед;0;0;26.01.21;Саутгемптон;Арсенал;1;3;18.01.21;Арсенал;Ньюкасл;3;0;14.01.21;Арсенал;Кристал Пэлас;0;0;02.01.21;ВестБромвич;Арсенал;0;4;29.12.20;Брайтон;Арсенал;0;1;Астон Вилла;9;;20;10;2;8;35;24;36;36;33;32;31;29;29;Арсенал;10;;22;9;4;9;27;22;36;33;32;31;29;29;29
2020-2021;22-й тур;Тоттенхэм;Челси;0;1;Матч завершен 4 февраля 2021;1хСтавка;4.10;3.49;2.00;1.83;2.09;Winline; 4.03;3.53;1.99;1.80;2.09;Fonbet;4.00;3.55;2.05;1.77;2.05;Английская Премьер-лига 2020-2021;29.11.20;Челси;Тоттенхэм;0;0;Кубок английской лиги 2020-2021;29.09.20;Тоттенхэм;Челси;1;1;Английская Премьер-лига 2019-2020;22.02.20;Челси;Тоттенхэм;2;1;Английская Премьер-лига 2019-2020;22.12.19;Тоттенхэм;Челси;0;2;Английская Премьер-лига 2018-2019;27.02.19;Челси;Тоттенхэм;2;0;31.01.21;Брайтон;Тоттенхэм;1;0;28.01.21;Тоттенхэм;Ливерпуль;1;3;17.01.21;ШеффилдЮнайтед;Тоттенхэм;1;3;13.01.21;Тоттенхэм;Фулхэм;1;1;02.01.21;Тоттенхэм;Лидс;3;0;27.12.20;Вулверхэмптон;Тоттенхэм;1;1;20.12.20;Тоттенхэм;Лестер;0;2;31.01.21;Челси;Бернли;2;0;27.01.21;Челси;Вулверхэмптон;0;0;19.01.21;Лестер;Челси;2;0;16.01.21;Фулхэм;Челси;0;1;03.01.21;Челси;Манчестер Сити;1;3;28.12.20;Челси;Астон Вилла;1;1;26.12.20;Арсенал;Челси;3;1;Тоттенхэм;7;Лига конференций;20;9;6;5;34;21;40;38;36;33;33;32;31;Челси;8;;21;9;6;6;35;23;38;36;0;33;32;31;29
2020-2021;22-й тур;Астон Вилла;Вест Хэм;1;3;Матч завершен 3 февраля 2021;Fonbet;2.20;3.40;3.40;2.10;1.73;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;30.11.20;Вест Хэм;Астон Вилла;2;1;Английская Премьер-лига 2019-2020;26.07.20;Вест Хэм;Астон Вилла;1;1;Английская Премьер-лига 2019-2020;16.09.19;Астон Вилла;Вест Хэм;0;0;Английская Премьер-лига 2015-2016;02.02.16;Вест Хэм;Астон Вилла;2;0;Английская Премьер-лига 2015-2016;26.12.15;Астон Вилла;Вест Хэм;1;1;30.01.21;Саутгемптон;Астон Вилла;0;1;27.01.21;Бернли;Астон Вилла;3;2;23.01.21;АстонВилла;Ньюкасл;2;0;20.01.21;МанчестерСити;Астон Вилла;2;0;01.01.21;МанчестерЮнайтед;Астон Вилла;2;1;28.12.20;Челси;Астон Вилла;1;1;26.12.20;АстонВилла;Кристал Пэлас;3;0;31.01.21;ВестХэм;Ливерпуль;1;3;26.01.21;КристалПэлас;Вест Хэм;2;3;19.01.21;ВестХэм;Вест Бромвич;2;1;16.01.21;ВестХэм;Бернли;1;0;01.01.21;Эвертон;Вест Хэм;0;1;29.12.20;Саутгемптон;Вест Хэм;0;0;27.12.20;ВестХэм;Брайтон;2;2;Астон Вилла;9;;19;10;2;7;34;21;35;33;33;32;31;29;29;Вест Хэм;6;Лига Европы;21;10;5;6;31;27;42;40;36;35;33;33;32
2020-2021;22-й тур;Ливерпуль;Брайтон;0;1;Матч завершен 3 февраля 2021;Fonbet;1.45;4.70;7.00;2.30;1.62;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;28.11.20;Брайтон;Ливерпуль;1;1;Английская Премьер-лига 2019-2020;08.07.20;Брайтон;Ливерпуль;1;3;Английская Премьер-лига 2019-2020;30.11.19;Ливерпуль;Брайтон;2;1;Английская Премьер-лига 2018-2019;12.01.19;Брайтон;Ливерпуль;0;1;Английская Премьер-лига 2018-2019;25.08.18;Ливерпуль;Брайтон;1;0;31.01.21;ВестХэм;Ливерпуль;1;3;28.01.21;Тоттенхэм;Ливерпуль;1;3;21.01.21;Ливерпуль;Бернли;0;1;17.01.21;Ливерпуль;Манчестер Юнайтед;0;0;04.01.21;Саутгемптон;Ливерпуль;1;0;30.12.20;Ньюкасл;Ливерпуль;0;0;27.12.20;Ливерпуль;Вест Бромвич;1;1;31.01.21;Брайтон;Тоттенхэм;1;0;27.01.21;Брайтон;Фулхэм;0;0;16.01.21;Лидс;Брайтон;0;1;13.01.21;МанчестерСити;Брайтон;1;0;02.01.21;Брайтон;Вулверхэмптон;3;3;29.12.20;Брайтон;Арсенал;0;1;27.12.20;ВестХэм;Брайтон;2;2;Ливерпуль;4;Лига Чемпионов;21;11;7;3;43;24;47;44;42;40;36;35;33;Брайтон;17;;21;4;9;8;23;29;26;22;22;21;14;12;11
2020-2021;22-й тур;Лидс;Эвертон;1;2;Матч завершен 3 февраля 2021;Fonbet;2.60;3.55;2.60;2.30;1.62;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;28.11.20;Эвертон;Лидс;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.01.21;Лестер;Лидс;1;3;26.01.21;Ньюкасл;Лидс;1;2;16.01.21;Лидс;Брайтон;0;1;02.01.21;Тоттенхэм;Лидс;3;0;29.12.20;ВестБромвич;Лидс;0;5;27.12.20;Лидс;Бернли;1;0;20.12.20;МанчестерЮнайтед;Лидс;6;2;30.01.21;Эвертон;Ньюкасл;0;2;27.01.21;Эвертон;Лестер;1;1;12.01.21;Вулверхэмптон;Эвертон;1;2;01.01.21;Эвертон;Вест Хэм;0;1;26.12.20;ШеффилдЮнайтед;Эвертон;0;1;19.12.20;Эвертон;Арсенал;2;1;16.12.20;Лестер;Эвертон;0;2;Лидс;11;;20;9;2;9;35;36;33;32;31;29;29;29;26;Эвертон;8;;19;10;3;6;29;24;35;0;0;33;32;31;29
2020-2021;22-й тур;Бернли;Манчестер Сити;0;2;Матч завершен 3 февраля 2021;Fonbet;16.00;7.50;1.20;—;—;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;28.11.20;Манчестер Сити;Бернли;5;0;Кубок английской лиги 2020-2021;30.09.20;Бернли;Манчестер Сити;0;3;Английская Премьер-лига 2019-2020;22.06.20;Манчестер Сити;Бернли;5;0;Английская Премьер-лига 2019-2020;03.12.19;Бернли;Манчестер Сити;1;4;Английская Премьер-лига 2018-2019;28.04.19;Бернли;Манчестер Сити;0;1;31.01.21;Челси;Бернли;2;0;27.01.21;Бернли;Астон Вилла;3;2;21.01.21;Ливерпуль;Бернли;0;1;16.01.21;ВестХэм;Бернли;1;0;12.01.21;Бернли;Манчестер Юнайтед;0;1;29.12.20;Бернли;Шеффилд Юнайтед;1;0;27.12.20;Лидс;Бернли;1;0;30.01.21;МанчестерСити;Шеффилд Юнайтед;1;0;26.01.21;ВестБромвич;Манчестер Сити;0;5;20.01.21;МанчестерСити;Астон Вилла;2;0;17.01.21;МанчестерСити;Кристал Пэлас;4;0;13.01.21;МанчестерСити;Брайтон;1;0;03.01.21;Челси;Манчестер Сити;1;3;26.12.20;МанчестерСити;Ньюкасл;2;0;Бернли;15;;20;6;4;10;13;26;29;29;26;22;22;21;14;Манчестер Сити;1;Лига Чемпионов;20;13;5;2;37;13;0;0;0;44;0;40;39
2020-2021;22-й тур;Фулхэм;Лестер;0;2;Матч завершен 3 февраля 2021;Fonbet;4.00;3.40;2.00;1.77;2.05;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;30.11.20;Лестер;Фулхэм;1;2;Английская Премьер-лига 2018-2019;09.03.19;Лестер;Фулхэм;3;1;Английская Премьер-лига 2018-2019;05.12.18;Фулхэм;Лестер;1;1;0;0;0;0;0;0;0;0;0;0;0;0;30.01.21;ВестБромвич;Фулхэм;2;2;27.01.21;Брайтон;Фулхэм;0;0;20.01.21;Фулхэм;Манчестер Юнайтед;1;2;16.01.21;Фулхэм;Челси;0;1;13.01.21;Тоттенхэм;Фулхэм;1;1;26.12.20;Фулхэм;Саутгемптон;0;0;19.12.20;Ньюкасл;Фулхэм;1;1;31.01.21;Лестер;Лидс;1;3;27.01.21;Эвертон;Лестер;1;1;19.01.21;Лестер;Челси;2;0;16.01.21;Лестер;Саутгемптон;2;0;03.01.21;Ньюкасл;Лестер;1;2;28.12.20;КристалПэлас;Лестер;1;1;26.12.20;Лестер;Манчестер Юнайтед;2;2;Фулхэм;18;Вылет в Чемпионшип;20;2;8;10;17;29;22;22;21;14;12;11;0;Лестер;4;Лига Чемпионов;21;12;3;6;37;25;44;44;40;39;35;33;33
2020-2021;22-й тур;Манчестер Юнайтед;Саутгемптон;9;0;Матч завершен 2 февраля 2021;Fonbet;1.45;5.00;8.50;2.35;1.60;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;29.11.20;Саутгемптон;Манчестер Юнайтед;2;3;Английская Премьер-лига 2019-2020;13.07.20;Манчестер Юнайтед;Саутгемптон;2;2;Английская Премьер-лига 2019-2020;31.08.19;Саутгемптон;Манчестер Юнайтед;1;1;Английская Премьер-лига 2018-2019;02.03.19;Манчестер Юнайтед;Саутгемптон;3;2;Английская Премьер-лига 2018-2019;01.12.18;Саутгемптон;Манчестер Юнайтед;2;2;30.01.21;Арсенал;Манчестер Юнайтед;0;0;27.01.21;МанчестерЮнайтед;Шеффилд Юнайтед;1;2;20.01.21;Фулхэм;Манчестер Юнайтед;1;2;17.01.21;Ливерпуль;Манчестер Юнайтед;0;0;12.01.21;Бернли;Манчестер Юнайтед;0;1;01.01.21;МанчестерЮнайтед;Астон Вилла;2;1;29.12.20;МанчестерЮнайтед;Вулверхэмптон;1;0;30.01.21;Саутгемптон;Астон Вилла;0;1;26.01.21;Саутгемптон;Арсенал;1;3;16.01.21;Лестер;Саутгемптон;2;0;04.01.21;Саутгемптон;Ливерпуль;1;0;29.12.20;Саутгемптон;Вест Хэм;0;0;26.12.20;Фулхэм;Саутгемптон;0;0;19.12.20;Саутгемптон;Манчестер Сити;0;1;Манчестер Юнайтед;2;Лига Чемпионов;21;12;5;4;37;27;0;0;44;41;40;39;35;Саутгемптон;11;;20;8;5;7;27;25;33;32;31;29;0;26;26
2020-2021;22-й тур;Ньюкасл;Кристал Пэлас;1;2;Матч завершен 2 февраля 2021;Fonbet;2.75;3.30;2.60;1.72;2.12;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;27.11.20;Кристал Пэлас;Ньюкасл;0;2;Английская Премьер-лига 2019-2020;22.02.20;Кристал Пэлас;Ньюкасл;1;0;Английская Премьер-лига 2019-2020;21.12.19;Ньюкасл;Кристал Пэлас;1;0;Английская Премьер-лига 2018-2019;06.04.19;Ньюкасл;Кристал Пэлас;0;1;Английская Премьер-лига 2018-2019;22.09.18;Кристал Пэлас;Ньюкасл;0;0;30.01.21;Эвертон;Ньюкасл;0;2;26.01.21;Ньюкасл;Лидс;1;2;23.01.21;АстонВилла;Ньюкасл;2;0;18.01.21;Арсенал;Ньюкасл;3;0;12.01.21;ШеффилдЮнайтед;Ньюкасл;1;0;03.01.21;Ньюкасл;Лестер;1;2;30.12.20;Ньюкасл;Ливерпуль;0;0;30.01.21;КристалПэлас;Вулверхэмптон;1;0;26.01.21;КристалПэлас;Вест Хэм;2;3;17.01.21;МанчестерСити;Кристал Пэлас;4;0;14.01.21;Арсенал;Кристал Пэлас;0;0;02.01.21;КристалПэлас;Шеффилд Юнайтед;2;0;28.12.20;КристалПэлас;Лестер;1;1;26.12.20;АстонВилла;Кристал Пэлас;3;0;Ньюкасл;15;;21;6;4;11;21;34;29;26;26;22;22;21;14;Кристал Пэлас;14;;21;7;5;9;25;36;29;29;0;26;22;22;21
2020-2021;22-й тур;Вулверхэмптон;Арсенал;2;1;Матч завершен 2 февраля 2021;Fonbet;3.60;3.35;2.20;1.67;2.20;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;29.11.20;Арсенал;Вулверхэмптон;1;2;Английская Премьер-лига 2019-2020;04.07.20;Вулверхэмптон;Арсенал;0;2;Английская Премьер-лига 2019-2020;02.11.19;Арсенал;Вулверхэмптон;1;1;Английская Премьер-лига 2018-2019;24.04.19;Вулверхэмптон;Арсенал;3;1;Английская Премьер-лига 2018-2019;11.11.18;Арсенал;Вулверхэмптон;1;1;30.01.21;КристалПэлас;Вулверхэмптон;1;0;27.01.21;Челси;Вулверхэмптон;0;0;16.01.21;Вулверхэмптон;Вест Бромвич;2;3;12.01.21;Вулверхэмптон;Эвертон;1;2;02.01.21;Брайтон;Вулверхэмптон;3;3;29.12.20;МанчестерЮнайтед;Вулверхэмптон;1;0;27.12.20;Вулверхэмптон;Тоттенхэм;1;1;30.01.21;Арсенал;Манчестер Юнайтед;0;0;26.01.21;Саутгемптон;Арсенал;1;3;18.01.21;Арсенал;Ньюкасл;3;0;14.01.21;Арсенал;Кристал Пэлас;0;0;02.01.21;ВестБромвич;Арсенал;0;4;29.12.20;Брайтон;Арсенал;0;1;26.12.20;Арсенал;Челси;3;1;Вулверхэмптон;14;;21;6;5;10;21;30;29;29;26;23;22;22;21;Арсенал;10;;21;9;4;8;26;20;33;33;32;31;29;29;26
2020-2021;22-й тур;Шеффилд Юнайтед;Вест Бромвич;2;1;Матч завершен 2 февраля 2021;Fonbet;1.95;3.40;4.30;1.65;2.25;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;28.11.20;Вест Бромвич;Шеффилд Юнайтед;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.01.21;МанчестерСити;Шеффилд Юнайтед;1;0;27.01.21;МанчестерЮнайтед;Шеффилд Юнайтед;1;2;17.01.21;ШеффилдЮнайтед;Тоттенхэм;1;3;12.01.21;ШеффилдЮнайтед;Ньюкасл;1;0;02.01.21;КристалПэлас;Шеффилд Юнайтед;2;0;29.12.20;Бернли;Шеффилд Юнайтед;1;0;26.12.20;ШеффилдЮнайтед;Эвертон;0;1;30.01.21;ВестБромвич;Фулхэм;2;2;26.01.21;ВестБромвич;Манчестер Сити;0;5;19.01.21;ВестХэм;Вест Бромвич;2;1;16.01.21;Вулверхэмптон;Вест Бромвич;2;3;02.01.21;ВестБромвич;Арсенал;0;4;29.12.20;ВестБромвич;Лидс;0;5;27.12.20;Ливерпуль;Вест Бромвич;1;1;Шеффилд Юнайтед;20;Вылет в Чемпионшип;21;2;2;17;12;34;0;0;0;8;0;0;0;Вест Бромвич;19;Вылет в Чемпионшип;21;2;6;13;17;50;22;21;14;12;0;0;0
2020-2021;21-й тур;Брайтон;Тоттенхэм;1;0;Матч завершен 31 января 2021;Fonbet;3.20;3.30;2.30;1.75;2.08;0;0;0;0;0;0;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;01.11.20;Тоттенхэм;Брайтон;2;1;Английская Премьер-лига 2019-2020;26.12.19;Тоттенхэм;Брайтон;2;1;Английская Премьер-лига 2019-2020;05.10.19;Брайтон;Тоттенхэм;3;0;Английская Премьер-лига 2018-2019;23.04.19;Тоттенхэм;Брайтон;1;0;Английская Премьер-лига 2018-2019;22.09.18;Брайтон;Тоттенхэм;1;2;27.01.21;Брайтон;Фулхэм;0;0;16.01.21;Лидс;Брайтон;0;1;13.01.21;МанчестерСити;Брайтон;1;0;02.01.21;Брайтон;Вулверхэмптон;3;3;29.12.20;Брайтон;Арсенал;0;1;27.12.20;ВестХэм;Брайтон;2;2;20.12.20;Брайтон;Шеффилд Юнайтед;1;1;28.01.21;Тоттенхэм;Ливерпуль;1;3;17.01.21;ШеффилдЮнайтед;Тоттенхэм;1;3;13.01.21;Тоттенхэм;Фулхэм;1;1;02.01.21;Тоттенхэм;Лидс;3;0;27.12.20;Вулверхэмптон;Тоттенхэм;1;1;20.12.20;Тоттенхэм;Лестер;0;2;16.12.20;Ливерпуль;Тоттенхэм;2;1;Брайтон;17;;20;3;9;8;22;29;23;22;22;18;14;12;0;Тоттенхэм;6;Лига Европы;19;9;6;4;34;20;40;39;35;33;0;0;32
2020-2021;21-й тур;Вест Хэм;Ливерпуль;1;3;Матч завершен 31 января 2021;1хСтавка;3.84;3.83;1.96;2.37;1.61;Fonbet;3.55;3.75;2.00;2.30;1.62;0;0;0;0;0;0;Английская Премьер-лига 2020-2021;31.10.20;Ливерпуль;Вест Хэм;2;1;Английская Премьер-лига 2019-2020;24.02.20;Ливерпуль;Вест Хэм;3;2;Английская Премьер-лига 2019-2020;29.01.20;Вест Хэм;Ливерпуль;0;2;Английская Премьер-лига 2018-2019;04.02.19;Вест Хэм;Ливерпуль;1;1;Английская Премьер-лига 2018-2019;12.08.18;Ливерпуль;Вест Хэм;4;0;26.01.21;КристалПэлас;Вест Хэм;2;3;19.01.21;ВестХэм;Вест Бромвич;2;1;16.01.21;ВестХэм;Бернли;1;0;01.01.21;Эвертон;Вест Хэм;0;1;29.12.20;Саутгемптон;Вест Хэм;0;0;27.12.20;ВестХэм;Брайтон;2;2;21.12.20;Челси;Вест Хэм;3;0;28.01.21;Тоттенхэм;Ливерпуль;1;3;21.01.21;Ливерпуль;Бернли;0;1;17.01.21;Ливерпуль;Манчестер Юнайтед;0;0;04.01.21;Саутгемптон;Ливерпуль;1;0;30.12.20;Ньюкасл;Ливерпуль;0;0;27.12.20;Ливерпуль;Вест Бромвич;1;1;19.12.20;КристалПэлас;Ливерпуль;0;7;Вест Хэм;5;Лига Европы;20;10;5;5;30;24;41;39;37;35;33;33;33;Ливерпуль;4;Лига Чемпионов;20;10;7;3;40;23;44;41;39;37;35;33;33
2020-2021;21-й тур;Лестер;Лидс;1;3;Матч завершен 31 января 2021;1хСтавка;1.88;3.90;4.11;2.10;1.82;Winline;1.82;3.80;4.10;2.14;1.71;Fonbet;1.80;4.00;4.10;2.40;1.57;Английская Премьер-лига 2020-2021;02.11.20;Лидс;Лестер;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.01.21;Эвертон;Лестер;1;1;19.01.21;Лестер;Челси;2;0;16.01.21;Лестер;Саутгемптон;2;0;03.01.21;Ньюкасл;Лестер;1;2;28.12.20;КристалПэлас;Лестер;1;1;26.12.20;Лестер;Манчестер Юнайтед;2;2;20.12.20;Тоттенхэм;Лестер;0;2;26.01.21;Ньюкасл;Лидс;1;2;16.01.21;Лидс;Брайтон;0;1;02.01.21;Тоттенхэм;Лидс;3;0;29.12.20;ВестБромвич;Лидс;0;5;27.12.20;Лидс;Бернли;1;0;20.12.20;МанчестерЮнайтед;Лидс;6;2;16.12.20;Лидс;Ньюкасл;5;2;Лестер;3;Лига Чемпионов;20;12;3;5;36;22;8;44;41;39;37;35;33;Лидс;12;;19;8;2;9;32;35;32;31;29;26;0;23;22
