Сезон;Тур;Хоязяева;Гости;Голы хозяев;Голы гостей;Дата матча;1хСтавка;1_а;Х_а;2_а;ТМ 2.5_а;ТБ 2.5_а;Winline;1_б;Х_б;2_б;ТМ 2.5_б;ТБ 2.5_б;Fonbet;1_в;Х_в;2_в;ТМ 2.5_в;ТБ 2.5_в;Турнир_1;Дата матча_1;Хозяева_1;Гости_1;Голы хозяев_1;Голы гостей_1;Турнир_2;Дата матча_2;Хозяева_2;Гости_2;Голы хозяев_2;Голы гостей_2;Турнир_3;Дата матча_3;Хозяева_3;Гости_3;Голы хозяев_3;Голы гостей_3;Турнир_4;Дата матча_4;Хозяева_4;Гости_4;Голы хозяев_4;Голы гостей_4;Турнир_5;Дата матча_5;Хозяева_5;Гости_5;Голы хозяев_5;Голы гостей_5;Дата матча_6;Хозяева_6;Гости_6;Голы хозяев_6;Голы гостей_6;Дата матча_7;Хозяева_7;Гости_7;Голы хозяев_7;Голы гостей_7;Дата матча_8;Хозяева_8;Гости_8;Голы хозяев_8;Голы гостей_8;Дата матча_9;Хозяева_9;Гости_9;Голы хозяев_9;Голы гостей_9;Дата матча_10;Хозяева_10;Гости_10;Голы хозяев_10;Голы гостей_10;Дата матча_11;Хозяева_11;Гости_11;Голы хозяев_11;Голы гостей_11;Дата матча_12;Хозяева_12;Гости_12;Голы хозяев_12;Голы гостей_12;Дата матча_13;Хозяева_13;Гости_13;Голы хозяев_13;Голы гостей_13;Дата матча_14;Хозяева_14;Гости_14;Голы хозяев_14;Голы гостей_14;Дата матча_15;Хозяева_15;Гости_15;Голы хозяев_15;Голы гостей_15;Дата матча_16;Хозяева_16;Гости_16;Голы хозяев_16;Голы гостей_16;Дата матча_17;Хозяева_17;Гости_17;Голы хозяев_17;Голы гостей_17;Дата матча_18;Хозяева_18;Гости_18;Голы хозяев_18;Голы гостей_18;Дата матча_19;Хозяева_19;Гости_19;Голы хозяев_19;Голы гостей_19;Название команды_1;Позиция_1;Перспектива_1;Игры_1;Победы_1;Ничьи_1;Поражения_1;Забитые голы_1;Пропущенные голы_1;очки +3 позиции_1;очки +2 позиции_1;очки +1 позиции_1;очки_1;очки -1 позиции_1;очки -2 позиции_1;очки -3 позиции_1;Название команды_2;Позиция_2;Перспектива_2;Игры_2;Победы_2;Ничьи_2;Поражения_2;Забитые голы_2;Пропущенные голы_2;очки +3 позиции_2;очки +2 позиции_2;очки +1 позиции_2;очки_2;очки -1 позиции_2;очки -2 позиции_2;очки -3 позиции_2
2020-2021;8-й тур;Эйбар;Кадис;0;2;Матч завершен 30 октября 2020;1хСтавка;2.41;2.88;3.72;1.32;3.52;Winline;2.57;2.78;3.49;1.27;3.54;Fonbet;2.50;2.70;3.60;—;—;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.10.20;Севилья;Эйбар;0;1;18.10.20;Эйбар;Осасуна;0;0;03.10.20;Вальядолид;Эйбар;1;2;30.09.20;Эйбар;Эльче;0;1;27.09.20;Эйбар;Атлетик Бильбао;1;2;19.09.20;Вильярреал;Эйбар;2;1;12.09.20;Эйбар;Сельта;0;0;25.10.20;Кадис;Вильярреал;0;0;17.10.20;РеалМадрид;Кадис;0;1;04.10.20;Кадис;Гранада;1;1;01.10.20;АтлетикБильбао;Кадис;0;1;27.09.20;Кадис;Севилья;1;3;20.09.20;Уэска;Кадис;0;2;12.09.20;Кадис;Осасуна;0;2;Эйбар;11;;7;2;2;3;5;6;0;0;9;8;7;7;7;Кадис;6;Лига Европы;7;3;2;2;6;6;13;12;0;11;10;10;10
2020-2021;7-й тур;Леванте;Сельта;1;1;Матч завершен 26 октября 2020;1хСтавка;2.52;3.39;2.95;1.82;2.10;Winline;2.52;3.36;2.95;2.01;1.86;Fonbet;2.50;3.50;2.90;2.00;1.80;Ла Лига 2019-2020;16.07.20;Сельта;Леванте;2;3;Ла Лига 2019-2020;22.12.19;Леванте;Сельта;3;1;Ла Лига 2018-2019;16.02.19;Сельта;Леванте;1;4;Ла Лига 2018-2019;27.08.18;Леванте;Сельта;1;2;Ла Лига 2017-2018;19.05.18;Сельта;Леванте;4;2;18.10.20;АтлетикБильбао;Леванте;2;0;04.10.20;Леванте;Реал Мадрид;0;2;01.10.20;Севилья;Леванте;1;0;27.09.20;Осасуна;Леванте;1;3;13.09.20;Валенсия;Леванте;4;2;0;0;0;0;0;0;0;0;0;0;17.10.20;Сельта;Атлетико Мадрид;0;2;04.10.20;Осасуна;Сельта;2;0;01.10.20;Сельта;Барселона;0;3;27.09.20;Вальядолид;Сельта;1;1;19.09.20;Сельта;Валенсия;2;1;12.09.20;Эйбар;Сельта;0;0;0;0;0;0;0;Леванте;19;Вылет в Сегунду;5;1;0;4;5;10;6;5;5;3;3;0;0;Сельта;18;Вылет в Сегунду;6;1;2;3;3;9;7;6;0;5;3;3;0
2020-2021;7-й тур;Реал Сосьедад;Уэска;4;1;Матч завершен 25 октября 2020;1хСтавка;1.79;3.46;5.42;1.76;2.18;Winline;1.86;3.38;4.51;1.66;2.22;Fonbet;1.80;3.30;5.20;1.65;2.25;Ла Лига 2018-2019;27.01.19;Реал Сосьедад;Уэска;0;0;Ла Лига 2018-2019;21.09.18;Уэска;Реал Сосьедад;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.10.20;Бетис;Реал Сосьедад;0;3;03.10.20;РеалСосьедад;Хетафе;3;0;29.09.20;РеалСосьедад;Валенсия;0;1;26.09.20;Эльче;Реал Сосьедад;0;3;20.09.20;РеалСосьедад;Реал Мадрид;0;0;13.09.20;Вальядолид;Реал Сосьедад;1;1;0;0;0;0;0;18.10.20;Уэска;Вальядолид;2;2;03.10.20;Эльче;Уэска;0;0;30.09.20;Уэска;Атлетико Мадрид;0;0;26.09.20;Валенсия;Уэска;1;1;20.09.20;Уэска;Кадис;0;2;13.09.20;Вильярреал;Уэска;1;1;0;0;0;0;0;Реал Сосьедад;5;Лига Европы;6;3;2;1;10;2;13;12;11;11;11;10;10;Уэска;17;;6;0;5;1;4;6;7;7;6;5;0;3;3
2020-2021;7-й тур;Хетафе;Гранада;0;1;Матч завершен 25 октября 2020;1хСтавка;2.05;3.07;4.61;1.41;3.01;Winline;1.99;2.98;4.59;1.38;2.96;Fonbet;2.00;2.90;4.80;—;—;Ла Лига 2019-2020;12.06.20;Гранада;Хетафе;2;1;Ла Лига 2019-2020;31.10.19;Хетафе;Гранада;3;1;Ла Лига 2015-2016;23.01.16;Гранада;Хетафе;3;2;Ла Лига 2015-2016;30.08.15;Хетафе;Гранада;1;2;Ла Лига 2014-2015;03.05.15;Хетафе;Гранада;1;2;17.10.20;Хетафе;Барселона;1;0;03.10.20;РеалСосьедад;Хетафе;3;0;29.09.20;Хетафе;Бетис;3;0;26.09.20;Алавес;Хетафе;0;0;19.09.20;Хетафе;Осасуна;1;0;0;0;0;0;0;0;0;0;0;0;17.10.20;Гранада;Севилья;1;0;04.10.20;Кадис;Гранада;1;1;27.09.20;АтлетикоМадрид;Гранада;6;1;20.09.20;Гранада;Алавес;2;1;12.09.20;Гранада;Атлетик Бильбао;2;0;0;0;0;0;0;0;0;0;0;0;Хетафе;7;Лига конференций;5;3;1;1;5;3;11;11;10;10;10;10;0;Гранада;9;;5;3;1;1;7;8;0;0;0;10;0;0;0
2020-2021;7-й тур;Кадис;Вильярреал;0;0;Матч завершен 25 октября 2020;1хСтавка;4.10;3.39;2.03;1.70;2.29;Winline;3.73;3.26;2.08;1.60;2.28;Fonbet;3.60;3.30;2.15;1.62;2.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.10.20;РеалМадрид;Кадис;0;1;04.10.20;Кадис;Гранада;1;1;01.10.20;АтлетикБильбао;Кадис;0;1;27.09.20;Кадис;Севилья;1;3;20.09.20;Уэска;Кадис;0;2;12.09.20;Кадис;Осасуна;0;2;0;0;0;0;0;18.10.20;Вильярреал;Валенсия;2;1;03.10.20;АтлетикоМадрид;Вильярреал;0;0;30.09.20;Вильярреал;Алавес;3;1;27.09.20;Барселона;Вильярреал;4;0;19.09.20;Вильярреал;Эйбар;2;1;13.09.20;Вильярреал;Уэска;1;1;0;0;0;0;0;Кадис;8;;6;3;1;2;6;6;10;10;10;10;10;0;0;Вильярреал;4;Лига Чемпионов;6;3;2;1;8;8;13;0;0;11;10;10;10
2020-2021;7-й тур;Вальядолид;Алавес;0;2;Матч завершен 25 октября 2020;1хСтавка;2.52;2.95;3.39;1.50;2.66;Winline;2.43;2.91;3.33;1.46;2.64;Fonbet;2.40;2.80;3.70;—;—;Ла Лига 2019-2020;04.07.20;Вальядолид;Алавес;1;0;Ла Лига 2019-2020;09.11.19;Алавес;Вальядолид;3;0;Ла Лига 2018-2019;19.04.19;Алавес;Вальядолид;2;2;Ла Лига 2018-2019;16.09.18;Вальядолид;Алавес;0;1;0;0;0;0;0;0;18.10.20;Уэска;Вальядолид;2;2;03.10.20;Вальядолид;Эйбар;1;2;30.09.20;РеалМадрид;Вальядолид;1;0;27.09.20;Вальядолид;Сельта;1;1;20.09.20;Бетис;Вальядолид;2;0;13.09.20;Вальядолид;Реал Сосьедад;1;1;0;0;0;0;0;18.10.20;Алавес;Эльче;0;2;04.10.20;Алавес;Атлетик Бильбао;1;0;30.09.20;Вильярреал;Алавес;3;1;26.09.20;Алавес;Хетафе;0;0;20.09.20;Гранада;Алавес;2;1;13.09.20;Алавес;Бетис;0;1;0;0;0;0;0;Вальядолид;19;Вылет в Сегунду;6;0;3;3;5;9;5;5;4;3;3;0;0;Алавес;18;Вылет в Сегунду;6;1;1;4;3;8;6;5;5;4;3;3;0
2020-2021;7-й тур;Атлетико Мадрид;Бетис;2;0;Матч завершен 24 октября 2020;1хСтавка;1.65;3.89;5.89;1.83;2.09;Winline;1.64;3.86;5.64;1.76;2.10;Fonbet;1.75;3.60;5.00;1.75;2.10;Ла Лига 2019-2020;11.07.20;Атлетико Мадрид;Бетис;1;0;Ла Лига 2019-2020;22.12.19;Бетис;Атлетико Мадрид;1;2;Ла Лига 2018-2019;03.02.19;Бетис;Атлетико Мадрид;1;0;Ла Лига 2018-2019;07.10.18;Атлетико Мадрид;Бетис;1;0;Ла Лига 2017-2018;22.04.18;Атлетико Мадрид;Бетис;0;0;17.10.20;Сельта;Атлетико Мадрид;0;2;03.10.20;АтлетикоМадрид;Вильярреал;0;0;30.09.20;Уэска;Атлетико Мадрид;0;0;27.09.20;АтлетикоМадрид;Гранада;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.10.20;Бетис;Реал Сосьедад;0;3;03.10.20;Валенсия;Бетис;0;2;29.09.20;Хетафе;Бетис;3;0;26.09.20;Бетис;Реал Мадрид;2;3;20.09.20;Бетис;Вальядолид;2;0;13.09.20;Алавес;Бетис;0;1;0;0;0;0;0;Атлетико Мадрид;10;;4;2;2;0;8;1;0;0;9;8;8;7;7;Бетис;9;;6;3;0;3;7;9;0;0;0;9;8;8;7
2020-2021;7-й тур;Осасуна;Атлетик Бильбао;1;0;Матч завершен 24 октября 2020;1хСтавка;3.27;3.07;2.50;1.56;2.50;Winline;3.20;2.93;2.49;1.48;2.58;Fonbet;3.60;2.90;2.35;—;—;Ла Лига 2019-2020;16.02.20;Атлетик Бильбао;Осасуна;0;1;Ла Лига 2019-2020;24.11.19;Осасуна;Атлетик Бильбао;1;2;Ла Лига 2016-2017;01.04.17;Осасуна;Атлетик Бильбао;1;2;Ла Лига 2016-2017;30.10.16;Атлетик Бильбао;Осасуна;1;1;Ла Лига 2013-2014;26.01.14;Осасуна;Атлетик Бильбао;1;5;18.10.20;Эйбар;Осасуна;0;0;04.10.20;Осасуна;Сельта;2;0;27.09.20;Осасуна;Леванте;1;3;19.09.20;Хетафе;Осасуна;1;0;12.09.20;Кадис;Осасуна;0;2;0;0;0;0;0;0;0;0;0;0;18.10.20;АтлетикБильбао;Леванте;2;0;04.10.20;Алавес;Атлетик Бильбао;1;0;01.10.20;АтлетикБильбао;Кадис;0;1;27.09.20;Эйбар;Атлетик Бильбао;1;2;12.09.20;Гранада;Атлетик Бильбао;2;0;0;0;0;0;0;0;0;0;0;0;Осасуна;12;;5;2;1;2;5;4;8;7;7;7;7;6;5;Атлетик Бильбао;14;;5;2;0;3;4;5;7;7;7;6;5;5;5
2020-2021;7-й тур;Севилья;Эйбар;0;1;Матч завершен 24 октября 2020;1хСтавка;1.64;3.89;6.14;1.70;2.29;Winline;1.58;3.81;6.61;1.57;2.37;Fonbet;1.65;3.70;6.00;1.62;2.30;Ла Лига 2019-2020;06.07.20;Севилья;Эйбар;1;0;Ла Лига 2019-2020;26.09.19;Эйбар;Севилья;3;2;Ла Лига 2018-2019;10.02.19;Севилья;Эйбар;2;2;Ла Лига 2018-2019;29.09.18;Эйбар;Севилья;1;3;Ла Лига 2017-2018;03.02.18;Эйбар;Севилья;5;1;17.10.20;Гранада;Севилья;1;0;04.10.20;Барселона;Севилья;1;1;01.10.20;Севилья;Леванте;1;0;27.09.20;Кадис;Севилья;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.10.20;Эйбар;Осасуна;0;0;03.10.20;Вальядолид;Эйбар;1;2;30.09.20;Эйбар;Эльче;0;1;27.09.20;Эйбар;Атлетик Бильбао;1;2;19.09.20;Вильярреал;Эйбар;2;1;12.09.20;Эйбар;Сельта;0;0;0;0;0;0;0;Севилья;11;;4;2;1;1;5;3;9;8;7;7;7;7;6;Эйбар;15;;6;1;2;3;4;6;7;7;6;5;0;0;4
2020-2021;7-й тур;Барселона;Реал Мадрид;1;3;Матч завершен 24 октября 2020 ;1хСтавка;1.90;4.16;3.77;2.82;1.46;Winline;1.87;4.10;3.91;2.77;1.46;Fonbet;2.10;3.80;3.60;2.35;1.60;Ла Лига 2019-2020;01.03.20;Реал Мадрид;Барселона;2;0;Ла Лига 2019-2020;18.12.19;Барселона;Реал Мадрид;0;0;Ла Лига 2018-2019;02.03.19;Реал Мадрид;Барселона;0;1;Кубок Испании 2018-2019;28.02.19;Реал Мадрид;Барселона;0;3;Кубок Испании 2018-2019;07.02.19;Барселона;Реал Мадрид;1;1;17.10.20;Хетафе;Барселона;1;0;04.10.20;Барселона;Севилья;1;1;01.10.20;Сельта;Барселона;0;3;27.09.20;Барселона;Вильярреал;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.10.20;РеалМадрид;Кадис;0;1;04.10.20;Леванте;Реал Мадрид;0;2;30.09.20;РеалМадрид;Вальядолид;1;0;26.09.20;Бетис;Реал Мадрид;2;3;20.09.20;РеалСосьедад;Реал Мадрид;0;0;0;0;0;0;0;0;0;0;0;0;Барселона;10;;4;2;1;1;8;2;0;9;8;7;7;7;7;Реал Мадрид;3;Лига Чемпионов;5;3;1;1;6;3;3;11;11;10;0;0;0
2020-2021;7-й тур;Эльче;Валенсия;2;1;Матч завершен 23 октября 2020;1хСтавка;3.58;3.36;2.20;1.65;2.30;Winline;3.49;3.17;2.31;1.55;2.48;Fonbet;3.05;3.15;2.45;1.62;2.30;Ла Лига 2014-2015;20.03.15;Эльче;Валенсия;0;4;Ла Лига 2014-2015;25.10.14;Валенсия;Эльче;2;1;Ла Лига 2013-2014;13.04.14;Валенсия;Эльче;2;1;Ла Лига 2013-2014;24.11.13;Эльче;Валенсия;2;1;0;0;0;0;0;0;18.10.20;Алавес;Эльче;0;2;03.10.20;Эльче;Уэска;0;0;30.09.20;Эйбар;Эльче;0;1;26.09.20;Эльче;Реал Сосьедад;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.10.20;Вильярреал;Валенсия;2;1;03.10.20;Валенсия;Бетис;0;2;29.09.20;РеалСосьедад;Валенсия;0;1;26.09.20;Валенсия;Уэска;1;1;19.09.20;Сельта;Валенсия;2;1;13.09.20;Валенсия;Леванте;4;2;0;0;0;0;0;Эльче;12;;4;2;1;1;3;3;7;7;7;7;7;6;5;Валенсия;13;;6;2;1;3;8;9;0;0;0;7;6;5;5
2020-2021;6-й тур;Бетис;Реал Сосьедад;0;3;Матч завершен 18 октября 2020;1хСтавка;2.84;3.52;2.53;2.05;1.86;Winline;2.82;3.26;2.54;1.95;1.85;Fonbet;2.70;3.25;2.70;1.95;1.85;Ла Лига 2019-2020;19.01.20;Бетис;Реал Сосьедад;3;0;Ла Лига 2019-2020;20.10.19;Реал Сосьедад;Бетис;3;1;Ла Лига 2018-2019;04.04.19;Реал Сосьедад;Бетис;2;1;Кубок Испании 2018-2019;17.01.19;Реал Сосьедад;Бетис;2;2;Кубок Испании 2018-2019;10.01.19;Бетис;Реал Сосьедад;0;0;03.10.20;Валенсия;Бетис;0;2;29.09.20;Хетафе;Бетис;3;0;26.09.20;Бетис;Реал Мадрид;2;3;20.09.20;Бетис;Вальядолид;2;0;13.09.20;Алавес;Бетис;0;1;0;0;0;0;0;0;0;0;0;0;03.10.20;РеалСосьедад;Хетафе;3;0;29.09.20;РеалСосьедад;Валенсия;0;1;26.09.20;Эльче;Реал Сосьедад;0;3;20.09.20;РеалСосьедад;Реал Мадрид;0;0;13.09.20;Вальядолид;Реал Сосьедад;1;1;0;0;0;0;0;0;0;0;0;0;Бетис;6;Лига Европы;5;3;0;2;7;6;0;0;0;9;8;8;7;Реал Сосьедад;8;;5;2;2;1;7;2;0;9;0;8;7;7;7
2020-2021;6-й тур;Алавес;Эльче;0;2;Матч завершен 18 октября 2020;1хСтавка;1.88;3.39;4.88;1.56;2.50;Winline;1.81;3.24;5.15;1.46;2.64;Fonbet;1.77;3.30;5.50;—;—;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Алавес;Атлетик Бильбао;1;0;30.09.20;Вильярреал;Алавес;3;1;26.09.20;Алавес;Хетафе;0;0;20.09.20;Гранада;Алавес;2;1;13.09.20;Алавес;Бетис;0;1;0;0;0;0;0;0;0;0;0;0;03.10.20;Эльче;Уэска;0;0;30.09.20;Эйбар;Эльче;0;1;26.09.20;Эльче;Реал Сосьедад;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Алавес;18;Вылет в Сегунду;5;1;1;3;3;6;5;4;4;4;3;2;0;Эльче;17;;3;1;1;1;1;3;5;5;0;4;0;3;2
2020-2021;6-й тур;Уэска;Вальядолид;2;2;Матч завершен 18 октября 2020;1хСтавка;2.16;3.08;4.11;1.45;2.84;Winline;2.12;2.94;4.12;1.39;2.88;Fonbet;2.25;2.90;3.80;—;—;Ла Лига 2018-2019;01.02.19;Уэска;Вальядолид;4;0;Ла Лига 2018-2019;07.10.18;Вальядолид;Уэска;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;03.10.20;Эльче;Уэска;0;0;30.09.20;Уэска;Атлетико Мадрид;0;0;26.09.20;Валенсия;Уэска;1;1;20.09.20;Уэска;Кадис;0;2;13.09.20;Вильярреал;Уэска;1;1;0;0;0;0;0;0;0;0;0;0;03.10.20;Вальядолид;Эйбар;1;2;30.09.20;РеалМадрид;Вальядолид;1;0;27.09.20;Вальядолид;Сельта;1;1;20.09.20;Бетис;Вальядолид;2;0;13.09.20;Вальядолид;Реал Сосьедад;1;1;0;0;0;0;0;0;0;0;0;0;Уэска;16;;5;0;4;1;2;4;6;5;5;4;4;4;3;Вальядолид;20;Вылет в Сегунду;5;0;2;3;3;7;4;4;3;2;0;0;0
2020-2021;6-й тур;Вильярреал;Валенсия;2;1;Матч завершен 18 октября 2020;1хСтавка;1.63;4.23;5.52;2.26;1.67;Winline;1.63;4.14;5.24;2.22;1.68;Fonbet;1.65;4.10;5.20;2.20;1.67;Ла Лига 2019-2020;28.06.20;Вильярреал;Валенсия;2;0;Ла Лига 2019-2020;30.11.19;Валенсия;Вильярреал;2;1;Лига Европы 2018-2019;18.04.19;Валенсия;Вильярреал;2;0;Лига Европы 2018-2019;11.04.19;Вильярреал;Валенсия;1;3;Ла Лига 2018-2019;26.01.19;Валенсия;Вильярреал;3;0;03.10.20;АтлетикоМадрид;Вильярреал;0;0;30.09.20;Вильярреал;Алавес;3;1;27.09.20;Барселона;Вильярреал;4;0;19.09.20;Вильярреал;Эйбар;2;1;13.09.20;Вильярреал;Уэска;1;1;0;0;0;0;0;0;0;0;0;0;03.10.20;Валенсия;Бетис;0;2;29.09.20;РеалСосьедад;Валенсия;0;1;26.09.20;Валенсия;Уэска;1;1;19.09.20;Сельта;Валенсия;2;1;13.09.20;Валенсия;Леванте;4;2;0;0;0;0;0;0;0;0;0;0;Вильярреал;8;;5;2;2;1;6;7;9;8;8;8;7;7;7;Валенсия;12;;5;2;1;2;7;7;0;0;0;7;6;5;5
2020-2021;6-й тур;Атлетик Бильбао;Леванте;2;0;Матч завершен 18 октября 2020;1хСтавка;2.04;3.50;3.94;2.05;1.86;Winline;2.06;3.42;3.60;1.89;1.91;Fonbet;2.05;3.30;3.90;1.67;2.20;Ла Лига 2019-2020;12.07.20;Леванте;Атлетик Бильбао;1;2;Ла Лига 2019-2020;10.11.19;Атлетик Бильбао;Леванте;2;1;Ла Лига 2018-2019;03.04.19;Атлетик Бильбао;Леванте;3;2;Ла Лига 2018-2019;03.12.18;Леванте;Атлетик Бильбао;3;0;Ла Лига 2017-2018;23.04.18;Атлетик Бильбао;Леванте;1;3;04.10.20;Алавес;Атлетик Бильбао;1;0;01.10.20;АтлетикБильбао;Кадис;0;1;27.09.20;Эйбар;Атлетик Бильбао;1;2;12.09.20;Гранада;Атлетик Бильбао;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Леванте;Реал Мадрид;0;2;01.10.20;Севилья;Леванте;1;0;27.09.20;Осасуна;Леванте;1;3;13.09.20;Валенсия;Леванте;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Атлетик Бильбао;19;Вылет в Сегунду;4;1;0;3;2;5;4;4;3;3;2;0;0;Леванте;18;Вылет в Сегунду;4;1;0;3;5;8;4;4;4;3;0;2;0
2020-2021;6-й тур;Эйбар;Осасуна;0;0;Матч завершен 18 октября 2020;1хСтавка;2.82;2.95;2.97;1.50;2.66;Winline;2.85;2.80;2.88;1.44;2.70;Fonbet;2.85;2.85;2.85;1.50;2.60;Ла Лига 2019-2020;02.07.20;Эйбар;Осасуна;0;2;Ла Лига 2019-2020;24.08.19;Осасуна;Эйбар;0;0;Ла Лига 2016-2017;13.03.17;Осасуна;Эйбар;1;1;Ла Лига 2016-2017;17.10.16;Эйбар;Осасуна;2;3;0;0;0;0;0;0;03.10.20;Вальядолид;Эйбар;1;2;30.09.20;Эйбар;Эльче;0;1;27.09.20;Эйбар;Атлетик Бильбао;1;2;19.09.20;Вильярреал;Эйбар;2;1;12.09.20;Эйбар;Сельта;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Осасуна;Сельта;2;0;27.09.20;Осасуна;Леванте;1;3;19.09.20;Хетафе;Осасуна;1;0;12.09.20;Кадис;Осасуна;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Эйбар;14;;5;1;1;3;4;6;7;6;5;4;4;4;4;Осасуна;12;;4;2;0;2;5;4;7;7;7;6;5;4;4
2020-2021;6-й тур;Хетафе;Барселона;1;0;Матч завершен 17 октября 2020;1хСтавка;5.56;3.72;1.72;1.92;1.98;Winline;4.88;3.73;1.75;1.87;1.95;Fonbet;4.80;3.90;1.78;1.85;1.95;Ла Лига 2019-2020;15.02.20;Барселона;Хетафе;2;1;Ла Лига 2019-2020;28.09.19;Хетафе;Барселона;0;2;Ла Лига 2018-2019;12.05.19;Барселона;Хетафе;2;0;Ла Лига 2018-2019;06.01.19;Хетафе;Барселона;1;2;Ла Лига 2017-2018;11.02.18;Барселона;Хетафе;0;0;03.10.20;РеалСосьедад;Хетафе;3;0;29.09.20;Хетафе;Бетис;3;0;26.09.20;Алавес;Хетафе;0;0;19.09.20;Хетафе;Осасуна;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Барселона;Севилья;1;1;01.10.20;Сельта;Барселона;0;3;27.09.20;Барселона;Вильярреал;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Хетафе;10;;4;2;1;1;4;3;8;7;7;7;7;6;5;Барселона;8;;3;2;1;0;8;1;8;8;8;7;0;0;0
2020-2021;6-й тур;Реал Мадрид;Кадис;0;1;Матч завершен 17 октября 2020;1хСтавка;1.23;6.40;16.00; 2.47;1.57;Winline;1.27;5.85;11.00;2.33;1.63;Fonbet;1.27;6.00;10.50;2.25;1.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Леванте;Реал Мадрид;0;2;30.09.20;РеалМадрид;Вальядолид;1;0;26.09.20;Бетис;Реал Мадрид;2;3;20.09.20;РеалСосьедад;Реал Мадрид;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;04.10.20;Кадис;Гранада;1;1;01.10.20;АтлетикБильбао;Кадис;0;1;27.09.20;Кадис;Севилья;1;3;20.09.20;Уэска;Кадис;0;2;12.09.20;Кадис;Осасуна;0;2;0;0;0;0;0;0;0;0;0;0;Реал Мадрид;1;Лига Чемпионов;4;3;1;0;6;2;3;3;2;10;10;0;0;Кадис;11;;5;2;1;2;5;6;0;0;0;7;6;5;4
2020-2021;6-й тур;Сельта;Атлетико Мадрид;0;2;Матч завершен 17 октября 2020;1хСтавка;4.94;3.32;1.91;1.60;2.49;Winline;4.96;3.38;1.83;1.54;2.46;Fonbet;4.60;3.30;1.90;1.55;2.45;Ла Лига 2019-2020;07.07.20;Сельта;Атлетико Мадрид;1;1;Ла Лига 2019-2020;21.09.19;Атлетико Мадрид;Сельта;0;0;Ла Лига 2018-2019;13.04.19;Атлетико Мадрид;Сельта;2;0;Ла Лига 2018-2019;01.09.18;Сельта;Атлетико Мадрид;2;0;Ла Лига 2017-2018;11.03.18;Атлетико Мадрид;Сельта;3;0;04.10.20;Осасуна;Сельта;2;0;01.10.20;Сельта;Барселона;0;3;27.09.20;Вальядолид;Сельта;1;1;19.09.20;Сельта;Валенсия;2;1;12.09.20;Эйбар;Сельта;0;0;0;0;0;0;0;0;0;0;0;0;03.10.20;АтлетикоМадрид;Вильярреал;0;0;30.09.20;Уэска;Атлетико Мадрид;0;0;27.09.20;АтлетикоМадрид;Гранада;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Сельта;13;;5;1;2;2;3;7;7;6;5;5;4;4;4;Атлетико Мадрид;12;;3;1;2;0;6;1;7;7;6;5;0;4;4
